ID,eomz4g57ck,b5183qbwfj,dm31sblpep,dwfmm3lymt,eemkkolgs1,wvr17xt1s7,xjms73jd7m,x9393zclmq,x7bu4pz4z2,x0nvtg7xet,uycua16rbs,t7noktjjj0,t0jhr1x27x,stwkx8zeda,skpohpulf4,shyol8ubb1,s4cum2n0sf,rx0887ru1s,rv437srgtr,rsexglawvx,qrpq4nqkst,orwk4a369r,nz1u6exavc,n5jc5b7lqy,luo4lgnyn9,jzj9vy17ye,hjtzujseho,hdpo4aekpk,gwcmmqyoq8,fl1h3xzp9l,68ybbleft1,18fwdebdv3,9tpropomro,9dh7ecg3xr,6ld5s60j5a,5gfekse2ql,3zmwaqv271
rt_attention_4,3486,3427,31302,2462,3958,2513,9175,2544,99661,2216,3440,2352,1835,3466,7096,2645,1535,1836,3348,4533,2734,3567,3339,2969,2870,2753,3668,2982,5201,2799,2615,2473,3693,2347,7393,2662,1890
frown50_1,j,f,j,f,j,f,f,j,j,f,j,f,j,f,f,j,j,J,J,f,f,f,j,j,j,f,f,f,j,j,f,f,f,f,j,f,j
smile50_1,f,f,j,f,j,f,f,f,f,f,f,j,f,f,f,j,f,J,f,f,j,f,j,f,f,j,f,f,j,f,f,j,j,f,f,j,j
frown50_2,j,f,f,f,j,f,f,j,j,f,f,f,f,j,f,j,j,f,f,f,f,f,f,j,f,f,j,f,f,f,j,f,f,f,j,f,j
smile50_2,f,j,f,j,f,j,f,f,j,f,f,j,f,j,f,j,f,J,f,f,j,f,f,f,j,j,j,f,j,f,f,j,j,f,f,j,f
rt_frown_1,760,103,3354,9525,2243,1247,4396,3716,88,3696,1542,1346,2507,3316,7438,3292,600,3454,3010,15319,8177,1811,2165,693,3756,3574,1989,5513,2143,3194,4977,1822,5993,2685,535,2400,3722
rt_smile_1,934,2923,563,796,2327,1592,4023,1884,87,11241,1069,784,928,2191,2350,2142,684,2939,2819,9724,2464,1937,7205,1071,2301,2844,491,1921,1199,2122,5000,647,7682,2277,537,3279,1787
rt_frown_2,7750,3880,5325,1657,3164,10279,5821,1814,95,8820,5550,655,2450,4738,1678,1979,375,3647,4977,3678,2213,1757,2640,505,3376,1590,629,2341,2468,5680,5692,747,3836,667,508,2221,2726
rt_smile_2,618,5938,10842,5482,1800,1747,2929,994,18,1471,1220,513,2593,854,1740,1674,491,1995,1604,1683,1365,2882,4453,2349,2338,1892,2276,5603,1360,1671,7728,693,3019,1056,570,2720,4293
frown50_1_cor,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
smile50_1_cor,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
frown50_2_cor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
smile50_2_cor,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Check,"{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""I do not know"",""CheckQ2"":""I do not know""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Negative""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""Positive""}","{""CheckQ1"":""Negative"",""CheckQ2"":""I do not know""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Neutral"",""CheckQ2"":""Neutral""}","{""CheckQ1"":""Positive"",""CheckQ2"":""Negative""}"
