ID,Proportion,Response,Disposition
skpohpulf4,60,f,frown
skpohpulf4,40,f,smile
skpohpulf4,45,f,smile
skpohpulf4,50,f,smile
skpohpulf4,55,f,smile
skpohpulf4,60,f,smile
skpohpulf4,40,f,frown
skpohpulf4,45,f,frown
skpohpulf4,50,f,frown
skpohpulf4,55,f,frown
skpohpulf4,60,f,frown
skpohpulf4,40,f,smile
skpohpulf4,45,f,smile
skpohpulf4,50,f,smile
skpohpulf4,55,f,smile
skpohpulf4,60,f,smile
rsexglawvx,40,f,frown
rsexglawvx,45,f,frown
rsexglawvx,50,f,frown
rsexglawvx,55,f,frown
rsexglawvx,60,f,frown
rsexglawvx,40,j,smile
rsexglawvx,45,f,smile
rsexglawvx,50,f,smile
rsexglawvx,55,f,smile
rsexglawvx,60,f,smile
rsexglawvx,40,f,frown
rsexglawvx,45,f,frown
rsexglawvx,50,f,frown
rsexglawvx,55,f,frown
rsexglawvx,60,f,frown
rsexglawvx,40,f,smile
rsexglawvx,45,f,smile
rsexglawvx,50,f,smile
rsexglawvx,55,f,smile
rsexglawvx,60,f,smile
rx0887ru1s,40,j,frown
rx0887ru1s,45,j,frown
rx0887ru1s,50,j,frown
rx0887ru1s,55,f,frown
rx0887ru1s,60,f,frown
rx0887ru1s,40,j,smile
rx0887ru1s,45,j,smile
rx0887ru1s,50,j,smile
rx0887ru1s,55,j,smile
rx0887ru1s,60,j,smile
rx0887ru1s,40,f,frown
rx0887ru1s,45,f,frown
rx0887ru1s,50,f,frown
rx0887ru1s,55,f,frown
rx0887ru1s,60,f,frown
rx0887ru1s,40,f,smile
rx0887ru1s,45,j,smile
rx0887ru1s,50,j,smile
rx0887ru1s,55,f,smile
rx0887ru1s,60,j,smile
shyol8ubb1,40,j,frown
shyol8ubb1,45,j,frown
shyol8ubb1,50,j,frown
shyol8ubb1,55,j,frown
shyol8ubb1,60,j,frown
shyol8ubb1,40,j,smile
shyol8ubb1,45,j,smile
shyol8ubb1,50,j,smile
shyol8ubb1,55,j,smile
shyol8ubb1,60,j,smile
shyol8ubb1,40,j,frown
shyol8ubb1,45,j,frown
shyol8ubb1,50,j,frown
shyol8ubb1,55,j,frown
shyol8ubb1,60,j,frown
shyol8ubb1,40,j,smile
shyol8ubb1,45,j,smile
shyol8ubb1,50,j,smile
shyol8ubb1,55,j,smile
shyol8ubb1,60,j,smile
gwcmmqyoq8,40,j,frown
gwcmmqyoq8,45,j,frown
gwcmmqyoq8,50,j,frown
gwcmmqyoq8,55,j,frown
gwcmmqyoq8,60,f,frown
gwcmmqyoq8,40,j,smile
gwcmmqyoq8,45,j,smile
gwcmmqyoq8,50,j,smile
gwcmmqyoq8,55,j,smile
gwcmmqyoq8,60,j,smile
gwcmmqyoq8,40,f,frown
gwcmmqyoq8,45,f,frown
gwcmmqyoq8,50,f,frown
gwcmmqyoq8,55,j,frown
gwcmmqyoq8,60,j,frown
gwcmmqyoq8,40,j,smile
gwcmmqyoq8,45,f,smile
gwcmmqyoq8,50,j,smile
gwcmmqyoq8,55,f,smile
gwcmmqyoq8,60,f,smile
hdpo4aekpk,40,j,frown
hdpo4aekpk,45,j,frown
hdpo4aekpk,50,f,frown
hdpo4aekpk,55,f,frown
hdpo4aekpk,60,j,frown
hdpo4aekpk,40,j,smile
hdpo4aekpk,45,j,smile
hdpo4aekpk,50,f,smile
hdpo4aekpk,55,f,smile
hdpo4aekpk,60,f,smile
hdpo4aekpk,40,f,frown
hdpo4aekpk,45,j,frown
hdpo4aekpk,50,f,frown
hdpo4aekpk,55,f,frown
hdpo4aekpk,60,f,frown
hdpo4aekpk,40,j,smile
hdpo4aekpk,45,j,smile
hdpo4aekpk,50,f,smile
hdpo4aekpk,55,f,smile
hdpo4aekpk,60,f,smile
orwk4a369r,40,f,frown
orwk4a369r,45,f,frown
orwk4a369r,50,f,frown
orwk4a369r,55,f,frown
orwk4a369r,60,f,frown
orwk4a369r,40,f,smile
orwk4a369r,45,f,smile
orwk4a369r,50,f,smile
orwk4a369r,55,f,smile
orwk4a369r,60,f,smile
orwk4a369r,40,f,frown
orwk4a369r,45,f,frown
orwk4a369r,50,f,frown
orwk4a369r,55,f,frown
orwk4a369r,60,f,frown
orwk4a369r,40,f,smile
orwk4a369r,45,f,smile
orwk4a369r,50,f,smile
orwk4a369r,55,f,smile
orwk4a369r,60,f,smile
hjtzujseho,40,f,frown
hjtzujseho,45,j,frown
hjtzujseho,50,f,frown
hjtzujseho,55,j,frown
hjtzujseho,60,j,frown
hjtzujseho,40,f,smile
hjtzujseho,45,j,smile
hjtzujseho,50,f,smile
hjtzujseho,55,f,smile
hjtzujseho,60,j,smile
hjtzujseho,40,j,frown
hjtzujseho,45,j,frown
hjtzujseho,50,j,frown
hjtzujseho,55,f,frown
hjtzujseho,60,j,frown
hjtzujseho,40,f,smile
hjtzujseho,45,j,smile
hjtzujseho,50,j,smile
hjtzujseho,55,j,smile
hjtzujseho,60,f,smile
jzj9vy17ye,40,f,frown
jzj9vy17ye,45,f,frown
jzj9vy17ye,50,f,frown
jzj9vy17ye,55,f,frown
jzj9vy17ye,60,f,frown
jzj9vy17ye,40,j,smile
jzj9vy17ye,45,j,smile
jzj9vy17ye,50,j,smile
jzj9vy17ye,55,j,smile
jzj9vy17ye,60,j,smile
jzj9vy17ye,40,j,frown
jzj9vy17ye,45,j,frown
jzj9vy17ye,50,f,frown
jzj9vy17ye,55,f,frown
jzj9vy17ye,60,f,frown
jzj9vy17ye,40,j,smile
jzj9vy17ye,45,j,smile
jzj9vy17ye,50,j,smile
jzj9vy17ye,55,j,smile
jzj9vy17ye,60,f,smile
luo4lgnyn9,40,f,frown
luo4lgnyn9,45,f,frown
luo4lgnyn9,50,j,frown
luo4lgnyn9,55,j,frown
luo4lgnyn9,60,f,frown
luo4lgnyn9,40,j,smile
luo4lgnyn9,45,f,smile
luo4lgnyn9,50,f,smile
luo4lgnyn9,55,f,smile
luo4lgnyn9,60,f,smile
luo4lgnyn9,40,j,frown
luo4lgnyn9,45,f,frown
luo4lgnyn9,50,f,frown
luo4lgnyn9,55,f,frown
luo4lgnyn9,60,j,frown
luo4lgnyn9,40,j,smile
luo4lgnyn9,45,f,smile
luo4lgnyn9,50,j,smile
luo4lgnyn9,55,j,smile
luo4lgnyn9,60,j,smile
68ybbleft1,40,f,frown
68ybbleft1,45,f,frown
68ybbleft1,50,f,frown
68ybbleft1,55,f,frown
68ybbleft1,60,j,frown
68ybbleft1,40,f,smile
68ybbleft1,45,j,smile
68ybbleft1,50,f,smile
68ybbleft1,55,f,smile
68ybbleft1,60,j,smile
68ybbleft1,40,f,frown
68ybbleft1,45,f,frown
68ybbleft1,50,j,frown
68ybbleft1,55,f,frown
68ybbleft1,60,j,frown
68ybbleft1,40,f,smile
68ybbleft1,45,j,smile
68ybbleft1,50,f,smile
68ybbleft1,55,j,smile
68ybbleft1,60,j,smile
dwfmm3lymt,40,j,frown
dwfmm3lymt,45,j,frown
dwfmm3lymt,50,f,frown
dwfmm3lymt,55,j,frown
dwfmm3lymt,60,f,frown
dwfmm3lymt,40,f,smile
dwfmm3lymt,45,f,smile
dwfmm3lymt,50,f,smile
dwfmm3lymt,55,f,smile
dwfmm3lymt,60,j,smile
dwfmm3lymt,40,f,frown
dwfmm3lymt,45,f,frown
dwfmm3lymt,50,f,frown
dwfmm3lymt,55,j,frown
dwfmm3lymt,60,f,frown
dwfmm3lymt,40,f,smile
dwfmm3lymt,45,f,smile
dwfmm3lymt,50,j,smile
dwfmm3lymt,55,j,smile
dwfmm3lymt,60,j,smile
eemkkolgs1,40,j,frown
eemkkolgs1,45,j,frown
eemkkolgs1,50,j,frown
eemkkolgs1,55,j,frown
eemkkolgs1,60,f,frown
eemkkolgs1,40,f,smile
eemkkolgs1,45,f,smile
eemkkolgs1,50,j,smile
eemkkolgs1,55,f,smile
eemkkolgs1,60,j,smile
eemkkolgs1,40,f,frown
eemkkolgs1,45,f,frown
eemkkolgs1,50,j,frown
eemkkolgs1,55,f,frown
eemkkolgs1,60,f,frown
eemkkolgs1,40,f,smile
eemkkolgs1,45,j,smile
eemkkolgs1,50,f,smile
eemkkolgs1,55,f,smile
eemkkolgs1,60,j,smile
eomz4g57ck,40,f,frown
eomz4g57ck,45,j,frown
eomz4g57ck,50,j,frown
eomz4g57ck,55,j,frown
eomz4g57ck,60,j,frown
eomz4g57ck,40,f,smile
eomz4g57ck,45,f,smile
eomz4g57ck,50,f,smile
eomz4g57ck,55,f,smile
eomz4g57ck,60,f,smile
eomz4g57ck,40,j,frown
eomz4g57ck,45,j,frown
eomz4g57ck,50,j,frown
eomz4g57ck,55,j,frown
eomz4g57ck,60,j,frown
eomz4g57ck,40,f,smile
eomz4g57ck,45,f,smile
eomz4g57ck,50,f,smile
eomz4g57ck,55,f,smile
eomz4g57ck,60,f,smile
fl1h3xzp9l,40,f,frown
fl1h3xzp9l,45,f,frown
fl1h3xzp9l,50,j,frown
fl1h3xzp9l,55,j,frown
fl1h3xzp9l,60,f,frown
fl1h3xzp9l,40,f,smile
fl1h3xzp9l,45,f,smile
fl1h3xzp9l,50,f,smile
fl1h3xzp9l,55,f,smile
fl1h3xzp9l,60,f,smile
fl1h3xzp9l,40,j,frown
fl1h3xzp9l,45,j,frown
fl1h3xzp9l,50,f,frown
fl1h3xzp9l,55,f,frown
fl1h3xzp9l,60,f,frown
fl1h3xzp9l,40,j,smile
fl1h3xzp9l,45,f,smile
fl1h3xzp9l,50,f,smile
fl1h3xzp9l,55,f,smile
fl1h3xzp9l,60,j,smile
5gfekse2ql,40,f,frown
5gfekse2ql,45,f,frown
5gfekse2ql,50,f,frown
5gfekse2ql,55,f,frown
5gfekse2ql,60,f,frown
5gfekse2ql,40,j,smile
5gfekse2ql,45,j,smile
5gfekse2ql,50,j,smile
5gfekse2ql,55,f,smile
5gfekse2ql,60,f,smile
5gfekse2ql,40,f,frown
5gfekse2ql,45,f,frown
5gfekse2ql,50,f,frown
5gfekse2ql,55,f,frown
5gfekse2ql,60,j,frown
5gfekse2ql,40,j,smile
5gfekse2ql,45,j,smile
5gfekse2ql,50,j,smile
5gfekse2ql,55,f,smile
5gfekse2ql,60,f,smile
6ld5s60j5a,40,j,frown
6ld5s60j5a,45,j,frown
6ld5s60j5a,50,j,frown
6ld5s60j5a,55,j,frown
6ld5s60j5a,60,j,frown
6ld5s60j5a,40,j,smile
6ld5s60j5a,45,f,smile
6ld5s60j5a,50,f,smile
6ld5s60j5a,55,f,smile
6ld5s60j5a,60,f,smile
6ld5s60j5a,40,f,frown
6ld5s60j5a,45,j,frown
6ld5s60j5a,50,j,frown
6ld5s60j5a,55,j,frown
6ld5s60j5a,60,j,frown
6ld5s60j5a,40,f,smile
6ld5s60j5a,45,f,smile
6ld5s60j5a,50,f,smile
6ld5s60j5a,55,f,smile
6ld5s60j5a,60,f,smile
9dh7ecg3xr,40,f,frown
9dh7ecg3xr,45,f,frown
9dh7ecg3xr,50,f,frown
9dh7ecg3xr,55,f,frown
9dh7ecg3xr,60,f,frown
9dh7ecg3xr,40,f,smile
9dh7ecg3xr,45,f,smile
9dh7ecg3xr,50,f,smile
9dh7ecg3xr,55,f,smile
9dh7ecg3xr,60,f,smile
9dh7ecg3xr,40,f,frown
9dh7ecg3xr,45,f,frown
9dh7ecg3xr,50,f,frown
9dh7ecg3xr,55,f,frown
9dh7ecg3xr,60,f,frown
9dh7ecg3xr,40,f,smile
9dh7ecg3xr,45,f,smile
9dh7ecg3xr,50,f,smile
9dh7ecg3xr,55,f,smile
9dh7ecg3xr,60,f,smile
9tpropomro,40,f,frown
9tpropomro,45,f,frown
9tpropomro,50,f,frown
9tpropomro,55,f,frown
9tpropomro,60,f,frown
9tpropomro,40,j,smile
9tpropomro,45,j,smile
9tpropomro,50,j,smile
9tpropomro,55,j,smile
9tpropomro,60,j,smile
9tpropomro,40,f,frown
9tpropomro,45,f,frown
9tpropomro,50,f,frown
9tpropomro,55,f,frown
9tpropomro,60,f,frown
9tpropomro,40,j,smile
9tpropomro,45,j,smile
9tpropomro,50,j,smile
9tpropomro,55,j,smile
9tpropomro,60,j,smile
18fwdebdv3,40,f,frown
18fwdebdv3,45,f,frown
18fwdebdv3,50,f,frown
18fwdebdv3,55,j,frown
18fwdebdv3,60,f,frown
18fwdebdv3,40,j,smile
18fwdebdv3,45,j,smile
18fwdebdv3,50,j,smile
18fwdebdv3,55,j,smile
18fwdebdv3,60,j,smile
18fwdebdv3,40,f,frown
18fwdebdv3,45,f,frown
18fwdebdv3,50,f,frown
18fwdebdv3,55,j,frown
18fwdebdv3,60,j,frown
18fwdebdv3,40,f,smile
18fwdebdv3,45,f,smile
18fwdebdv3,50,j,smile
18fwdebdv3,55,j,smile
18fwdebdv3,60,f,smile
